Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,73.9,144.3,53.1,3.3,4.7
20101002,72.6,143.3,53.0,2.7,4.7
20101003,75.2,145.5,52.8,2.7,4.7
20101004,75.8,145.2,52.9,3.3,5.2
20101005,73.9,144.0,53.2,2.4,3.9
20101006,77.8,143.5,52.8,12.9,3.6
20101007,71.2,142.9,53.2,2.7,4.7
20101008,73.9,143.4,52.9,2.0,2.5
20101009,74.5,142.2,53.0,3.3,4.8
20101010,74.7,143.8,53.1,3.1,3.4
20101011,75.6,141.7,53.1,4.1,3.9
20101012,75.0,145.1,53.1,2.8,4.2
20101013,73.1,146.6,53.3,4.5,4.4
20101014,75.6,148.3,53.8,3.5,2.1
20101015,75.8,144.1,52.9,3.0,4.6
20101016,76.1,144.6,52.9,2.9,3.8
20101017,73.4,143.1,53.1,3.1,3.9
20101018,73.2,143.5,53.0,3.8,3.7
20101019,74.6,140.9,52.5,3.9,4.5
20101020,72.0,144.1,53.1,4.0,3.5
20101021,75.1,145.0,53.2,3.5,4.3
20101022,76.5,144.6,52.9,2.5,3.4
20101023,74.1,145.0,53.2,3.2,4.4
20101024,81.5,144.6,53.0,19.4,4.7
20101025,72.3,142.0,53.1,3.3,3.4
20101026,69.7,143.6,53.2,3.1,2.3
20101027,73.6,143.3,52.9,2.9,4.2
20101028,69.4,142.1,53.3,2.6,3.9
20101029,72.9,143.9,53.0,5.5,3.4
20101030,72.6,143.9,53.0,3.4,3.7
20101031,74.1,143.2,52.8,3.9,3.5
20101101,78.9,151.3,53.0,5.1,6.3
20101102,108.3,192.4,53.2,4.8,5.2
20101103,128.7,200.6,53.2,6.3,2.3
20101104,135.3,212.6,52.9,4.7,7.5
20101105,135.0,215.2,53.0,4.1,4.4
20101106,145.9,223.9,52.8,6.5,3.7
20101107,148.0,227.6,53.2,3.6,3.9
20101108,159.8,233.4,52.9,3.7,4.8
20101109,158.1,225.3,53.1,4.3,3.3
20101110,165.9,231.7,53.1,4.6,3.3
20101111,172.6,236.5,52.9,2.8,5.4
20101112,164.0,232.6,53.3,3.8,3.0
20101113,167.8,229.9,53.1,5.7,2.3
20101114,148.6,211.8,53.0,4.7,2.8
20101115,136.0,199.0,53.0,3.0,3.3
20101116,156.5,219.3,53.1,4.7,4.8
20101117,179.5,238.5,52.7,2.2,4.2
20101118,189.8,241.1,52.7,4.5,3.0
20101119,195.5,244.2,53.1,3.6,4.1
20101120,192.6,246.4,53.1,3.6,3.0
20101121,197.4,246.3,53.2,2.9,2.4
20101122,202.3,246.1,53.0,4.1,2.9
20101123,205.2,247.4,53.1,3.2,3.9
20101124,209.0,244.1,53.0,5.0,3.8
20101125,206.8,247.1,53.0,4.0,4.2
20101126,209.2,248.0,52.9,5.1,3.0
20101127,206.4,248.9,53.0,3.3,5.2
20101128,203.7,246.6,53.0,4.2,4.7
20101129,200.8,245.0,52.8,8.2,2.7
20101130,195.5,247.2,52.8,3.4,3.7
20101201,196.4,248.4,53.3,3.8,3.8
20101202,199.8,248.5,52.8,4.3,3.1
20101203,199.3,245.7,52.9,5.7,3.0
20101204,203.1,250.4,53.3,7.1,4.8
20101205,202.7,246.8,53.0,4.6,3.6
20101206,213.4,244.6,53.1,3.8,3.8
20101207,214.7,244.2,53.0,4.0,4.7
20101208,217.3,247.2,52.9,3.9,3.1
20101209,nan,nan,nan,nan,nan
20101210,218.7,250.6,52.9,4.5,5.3
20101211,222.5,248.3,52.9,3.6,3.4
20101212,213.5,247.5,52.9,4.8,2.5
20101213,209.8,247.3,53.1,4.3,3.9
20101214,213.9,250.8,53.3,4.3,2.6
20101215,208.0,245.9,53.0,3.9,4.9
20101216,212.9,247.7,53.1,3.7,3.7
20101217,221.3,250.3,52.9,8.0,3.8
20101218,209.0,249.4,53.0,5.0,2.6
20101219,220.7,249.4,53.0,2.6,2.7
20101220,223.9,252.7,53.3,3.3,4.6
20101221,224.6,254.5,53.2,3.5,3.9
20101222,222.8,255.2,53.1,3.7,3.3
20101223,222.7,255.1,53.0,2.8,2.9
20101224,225.4,252.6,53.1,4.0,2.4
20101225,227.8,255.1,52.7,5.1,3.1
20101226,220.2,251.0,53.1,4.3,2.8
