Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,71.5,141.0,53.1,5.6,3.7
20101002,71.9,142.5,53.1,3.6,6.4
20101003,73.3,145.0,52.9,3.4,4.5
20101004,72.8,143.2,53.1,3.7,3.1
20101005,71.7,144.4,53.2,3.4,4.0
20101006,75.6,144.9,53.0,3.1,4.1
20101007,72.0,143.5,52.9,3.8,4.6
20101008,75.3,142.0,52.8,3.9,3.7
20101009,75.0,143.1,53.1,3.4,3.1
20101010,70.6,144.9,52.8,2.9,4.3
20101011,74.6,142.2,53.0,3.9,3.0
20101012,72.3,143.0,53.0,4.0,5.8
20101013,73.4,143.9,53.0,3.3,4.2
20101014,75.5,143.5,53.2,3.4,3.8
20101015,72.2,144.1,53.0,3.8,4.7
20101016,74.7,142.5,53.0,3.9,4.4
20101017,74.9,144.0,53.0,3.0,4.6
20101018,70.9,141.9,52.7,4.2,4.6
20101019,74.0,141.8,52.8,3.2,3.2
20101020,71.5,140.2,53.0,5.3,6.4
20101021,74.6,143.6,53.0,4.1,3.1
20101022,76.1,143.6,52.9,3.2,4.0
20101023,73.7,145.8,52.9,2.8,3.6
20101024,75.1,143.7,53.0,3.8,4.8
20101025,71.5,142.9,53.2,3.5,4.7
20101026,70.4,141.5,52.8,3.3,3.6
20101027,72.0,141.6,53.2,4.3,4.3
20101028,69.5,142.2,52.7,2.0,5.7
20101029,75.7,144.5,53.0,4.4,2.7
20101030,71.0,139.8,53.0,3.9,4.6
20101031,71.8,143.3,53.1,2.2,4.8
20101101,72.8,144.0,53.2,3.9,4.2
20101102,70.9,142.7,52.8,3.9,5.9
20101103,74.3,143.1,52.9,4.5,4.8
20101104,74.1,145.8,53.0,4.3,5.6
20101105,72.4,147.0,52.9,2.3,5.6
20101106,83.1,152.8,52.9,3.1,4.1
20101107,86.6,158.2,52.8,5.8,4.2
20101108,103.8,181.7,53.0,2.9,4.7
20101109,82.0,149.6,53.1,4.9,5.8
20101110,86.6,157.6,53.0,7.1,4.0
20101111,115.3,187.8,53.0,9.6,10.0
20101112,80.8,152.9,53.0,4.7,5.0
20101113,76.2,149.0,52.9,3.7,4.5
20101114,76.7,147.5,53.2,4.5,3.5
20101115,71.4,145.0,53.0,5.7,4.3
20101116,75.3,147.5,53.1,3.4,5.4
20101117,84.2,165.2,53.0,3.8,5.6
20101118,105.9,189.4,53.2,5.0,5.7
20101119,134.9,207.9,53.0,5.0,3.3
20101120,144.6,219.2,52.4,6.4,5.6
20101121,152.5,218.5,52.8,7.0,5.4
20101122,160.9,225.3,52.8,4.6,3.7
20101123,179.3,236.3,52.9,4.9,3.8
20101124,188.4,237.4,53.0,5.2,2.6
20101125,191.9,238.6,53.0,3.6,4.8
20101126,191.7,238.1,52.8,4.9,3.1
20101127,188.8,241.6,53.0,4.5,3.3
20101128,186.1,238.7,53.0,4.8,4.5
20101129,206.9,240.9,53.1,11.3,4.4
20101130,209.4,245.0,53.1,4.2,3.6
20101201,215.9,250.0,52.9,2.7,2.9
20101202,216.5,244.8,53.0,3.2,2.7
20101203,205.2,245.2,53.1,3.8,7.2
20101204,216.0,248.6,52.9,3.1,4.1
20101205,210.9,246.3,53.0,3.5,4.1
20101206,206.9,247.9,52.6,5.0,3.1
20101207,205.8,248.4,52.9,5.5,3.7
20101208,nan,nan,nan,nan,nan
20101209,205.3,241.0,52.8,2.6,3.5
20101210,200.5,241.9,53.0,5.4,3.9
20101211,184.0,233.2,52.6,7.4,8.1
20101212,115.0,179.0,53.1,5.2,5.4
20101213,105.6,173.4,52.9,5.1,7.1
20101214,142.5,197.9,52.8,8.2,7.9
20101215,156.7,215.5,53.1,6.8,3.3
20101216,155.4,214.3,53.2,3.8,4.8
20101217,173.0,227.5,53.0,9.6,7.0
20101218,179.9,235.6,52.9,6.8,5.0
20101219,184.6,233.2,53.0,7.2,3.9
20101220,201.1,241.6,52.9,5.6,2.2
20101221,204.9,243.8,53.0,4.1,3.9
20101222,217.9,248.6,52.9,3.0,4.5
20101223,212.9,245.9,53.1,5.5,4.4
20101224,213.7,247.8,52.8,4.4,3.7
20101225,218.2,248.2,53.0,3.2,3.3
20101226,214.3,250.0,53.3,6.5,3.4
