Date,TBh,TBv,inc_mean,TBh_std,TBv_std
20101001,71.7,142.2,53.0,3.9,5.0
20101002,71.2,143.3,53.0,3.6,5.3
20101003,74.5,144.1,53.0,5.2,5.6
20101004,71.6,142.1,53.0,3.8,5.3
20101005,73.1,146.4,53.0,4.3,5.5
20101006,72.7,143.0,53.0,3.6,5.2
20101007,72.9,145.2,53.0,4.4,5.8
20101008,74.5,144.6,53.0,4.1,6.0
20101009,74.2,140.6,53.0,3.6,4.9
20101010,75.0,145.1,53.0,4.3,6.0
20101011,72.8,144.6,53.0,3.4,5.5
20101012,76.7,146.1,53.0,3.5,5.5
20101013,75.5,143.3,53.0,4.2,6.5
20101014,72.9,141.7,53.0,3.4,4.6
20101015,74.7,147.8,53.0,4.0,6.0
20101016,76.4,139.3,53.0,4.9,5.8
20101017,73.8,142.2,53.0,3.7,4.8
20101018,74.6,145.6,53.0,3.9,7.0
20101019,72.0,143.3,53.0,3.8,5.3
20101020,70.0,143.7,53.0,4.2,6.1
20101021,75.1,145.2,53.0,4.3,6.5
20101022,74.8,143.0,53.0,3.8,4.6
20101023,72.4,142.4,53.0,4.7,5.0
20101024,72.4,143.2,53.0,4.0,4.7
20101025,72.3,146.6,53.0,3.7,5.8
20101026,74.9,143.1,53.0,4.2,6.1
20101027,73.1,143.2,53.0,4.0,5.4
20101028,73.0,145.4,53.0,4.1,5.4
20101029,72.7,143.4,53.0,3.4,4.0
20101030,74.2,143.0,53.0,3.8,4.8
20101031,71.1,141.0,53.0,4.6,5.9
20101101,73.3,142.3,53.0,4.1,5.3
20101102,75.4,149.7,53.0,4.5,6.5
20101103,72.8,143.2,53.0,4.5,6.2
20101104,74.0,141.7,53.0,3.8,4.5
20101105,77.2,145.9,53.0,4.0,6.5
20101106,74.0,141.4,53.0,4.2,4.9
20101107,70.8,144.4,53.0,4.4,5.9
20101108,73.7,145.5,53.0,4.1,7.1
20101109,74.4,141.7,53.0,5.2,5.5
20101110,73.2,144.9,53.0,4.4,7.8
20101111,74.5,142.6,53.0,4.4,5.8
20101112,76.0,145.8,53.0,4.0,5.1
20101113,75.9,143.7,53.0,4.7,3.4
20101114,72.2,140.8,53.0,4.9,5.9
20101115,72.5,146.4,53.0,4.1,6.4
20101116,72.4,143.3,53.0,3.5,6.1
20101117,72.9,142.9,53.0,3.6,5.2
20101118,98.4,150.3,53.0,7.3,10.2
20101119,79.0,148.8,53.0,4.3,5.9
20101120,90.5,161.7,53.0,4.4,6.3
20101121,118.4,194.3,53.0,4.6,4.5
20101122,119.7,198.3,53.0,4.2,4.3
20101123,142.6,213.6,53.0,4.6,4.3
20101124,142.8,220.2,53.0,6.3,4.8
20101125,143.0,223.8,53.0,3.8,3.6
20101126,142.5,222.8,53.0,5.0,4.6
20101127,148.0,225.1,53.0,3.8,3.6
20101128,146.4,223.6,53.0,5.6,4.2
20101129,144.4,221.8,53.0,3.0,4.2
20101130,134.2,214.7,53.0,5.2,4.6
20101201,181.1,237.7,53.0,4.1,4.3
20101202,164.8,227.3,53.0,5.5,5.0
20101203,181.2,229.0,53.0,5.3,5.8
20101204,194.5,244.7,53.0,4.6,4.1
20101205,190.4,244.8,53.0,3.7,3.9
20101206,187.8,241.4,53.0,5.3,4.8
20101207,186.5,241.0,53.0,3.9,4.0
20101208,nan,nan,nan,nan,nan
20101209,191.2,242.8,53.0,5.2,5.5
20101210,197.6,243.7,53.0,3.4,3.5
20101211,200.6,244.0,53.0,4.4,4.3
20101212,207.8,241.8,53.0,3.7,4.1
20101213,216.8,250.1,53.0,4.7,5.3
20101214,220.3,249.5,53.0,5.0,4.8
20101215,219.1,251.0,53.0,3.4,3.6
20101216,222.9,252.1,53.0,5.3,3.9
20101217,221.3,253.9,53.0,4.3,3.7
20101218,220.7,254.0,53.0,4.5,4.1
20101219,220.7,253.4,53.0,4.1,3.9
20101220,221.5,253.2,53.0,3.4,3.9
20101221,221.1,253.1,53.0,4.3,4.0
20101222,219.8,254.3,53.0,4.3,4.5
20101223,221.1,251.8,53.0,3.6,4.3
20101224,229.1,252.6,53.0,6.0,5.2
20101225,nan,nan,nan,nan,nan
20101226,231.6,256.7,53.0,4.0,4.1
